Date,Category,Description,Amount
2025-01-02,Food,Breakfast,120
2025-01-02,Travel,Bus ticket,40
2025-01-05,Shopping,T-shirt,499
2025-01-08,Bills,Electricity bill,890
2025-01-12,Groceries,Fruits & veggies,320
2025-02-01,Food,Lunch,150
2025-02-03,Groceries,Vegetables,330
2025-02-07,Travel,Auto fare,80
2025-02-10,Entertainment,Movie,250
2025-02-15,Bills,Water bill,420
2025-03-04,Food,Dinner,200
2025-03-06,Travel,Fuel,700
2025-03-10,Food,Burger,150
2025-03-11,Shopping,Shoes,1299
2025-03-15,Bills,Internet bill,699
